device_id;attr;value;ts
70645f;umidade;60;2022-04-26T01:14:14.854Z
70645f;tempo;1650935653316449500;2022-04-26T01:14:14.854Z
70645f;data;"1479626042,4148,5164,2302054,2947672,3690,2995,1346051,2776922,3686,2995,1370419,2768234,2996,3689,1653936,2129797,3881,4967,2143294,2835046,4955,3859,1797154,3557681,3613,2907,1277680,2680044,2917,3623,1609549,1981318,5114,4063,1798387,3783427,5172,6548,2873772,3580065,2957,3579,1619376,2006284,3565,2927,1286837,2663940";2022-04-26T01:14:14.854Z
70645f;temperatura;15;2022-04-26T01:14:16.199Z
70645f;umidade;41;2022-04-26T01:14:16.199Z
70645f;tempo;1650935654520266200;2022-04-26T01:14:16.199Z
70645f;data;"1479626042,4148,5164,2302054,2947672,3690,2995,1346051,2776922,3686,2995,1370419,2768234,2996,3689,1653936,2129797,3881,4967,2143294,2835046,4955,3859,1797154,3557681,3613,2907,1277680,2680044,2917,3623,1609549,1981318,5114,4063,1798387,3783427,5172,6548,2873772,3580065,2957,3579,1619376,2006284,3565,2927,1286837,2663940";2022-04-26T01:14:16.199Z
70645f;temperatura;13;2022-04-26T01:19:15.388Z
70645f;umidade;51;2022-04-26T01:19:15.388Z
70645f;tempo;1650935953869617700;2022-04-26T01:19:15.388Z
70645f;data;"1479626043,4043,4842,2097150,2837621,3498,2948,1339120,2411900,3531,2948,1322446,2407556,2951,3499,1452878,2077846,3991,4749,2139052,2698289,4752,3999,1729776,3629139,3575,3044,1380902,2555121,3040,3573,1532212,2177625,4958,4170,1882198,3667893,5276,6307,2819232,3679884,3030,3599,1533629,2169831,3625,3051,1373232,2557414";2022-04-26T01:19:15.388Z
70645f;temperatura;34;2022-04-26T01:19:16.754Z
70645f;umidade;18;2022-04-26T01:19:16.754Z
70645f;tempo;1650935955064055300;2022-04-26T01:19:16.754Z
70645f;data;"1479626043,4043,4842,2097150,2837621,3498,2948,1339120,2411900,3531,2948,1322446,2407556,2951,3499,1452878,2077846,3991,4749,2139052,2698289,4752,3999,1729776,3629139,3575,3044,1380902,2555121,3040,3573,1532212,2177625,4958,4170,1882198,3667893,5276,6307,2819232,3679884,3030,3599,1533629,2169831,3625,3051,1373232,2557414";2022-04-26T01:19:16.754Z
70645f;temperatura;7;2022-04-26T01:24:15.946Z
70645f;umidade;4;2022-04-26T01:24:15.946Z
70645f;tempo;1650936254407692500;2022-04-26T01:24:15.946Z
70645f;data;"1479626044,4060,5080,2297053,2843365,3556,2907,1247203,2838856,3531,2907,1246321,2835960,2897,3543,1687309,1928144,4206,5365,2192993,3175912,5412,4214,2055900,3643978,3458,2749,1190947,2649746,2751,3449,1589632,1845363,4980,3956,1779772,3769508,5106,6409,2900092,3593460,2789,3452,1639812,1886592,3442,2764,1208912,2689901";2022-04-26T01:24:15.946Z
70645f;temperatura;8;2022-04-26T01:24:17.298Z
70645f;umidade;15;2022-04-26T01:24:17.298Z
70645f;tempo;1650936255608352300;2022-04-26T01:24:17.298Z
70645f;data;"1479626044,4060,5080,2297053,2843365,3556,2907,1247203,2838856,3531,2907,1246321,2835960,2897,3543,1687309,1928144,4206,5365,2192993,3175912,5412,4214,2055900,3643978,3458,2749,1190947,2649746,2751,3449,1589632,1845363,4980,3956,1779772,3769508,5106,6409,2900092,3593460,2789,3452,1639812,1886592,3442,2764,1208912,2689901";2022-04-26T01:24:17.298Z
